1947786: What challenges do you expect to encounter when trying to make a source code contribution to an Open Source project?,1947787: I feel comfortable asking for help from the Open Source community using electronic communication means.,1947788: I can write my questions and understand answers in English.,1947789: I am good in understanding code written by other people.,1947790: I have pretty good skills to write and change code.,1947791: I feel comfortable with the process of contributing to an Open Source project.,1947792: I think that contributing to an Open Source software project is an interesting activity.,1947793: I feel I can set up and run an application if a set of instructions is properly given.,1947794: I am pretty good at searching for solutions and understanding technical issues by myself.,1947795: I can choose an adequate task to fix if a list of tasks is given.,1947796: I can find the piece of code that needs to be fixed given a bug report presenting the issue.
"The few challenges/issues I believe contributing to Open source (OS) project are the following

1. Are the tasks available to the from the OSS structured that is easy to follow for beginners to OSS

2. Are there any coding standards, I've never really expose to a strict coding standard in a project

3. Are the changes I've made have any meaningful impact on the OS project",Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral
"1. review code was written by others

2. collaboration between the different groups that are contributing to the same project

3. understand the code instruction and set-up for the project(learn new technology if I am not familiar with the code) of an open source 

4. fix/refine other people's code, this is particularly difficult when the documentation of the code is vague or the code is not written in an abstract way(i.e. too specific)

5. understand the structure/design of the project on a grander scale

6. optimize the our solution(e.g. consider time complexity, design patterns etc)

7. applying developing method(e.g. agile, waterfall etc) to manage the project

8. maintain communications between the group members 

 

 ",Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree
real industry issues,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree
"Some challenges that we can encounter while contributing to an opensource project are - 

*

Failing to understand the complete project requirement.

*

Ineffective communication & collaboration.

* Not being familiar with the programming language & frameworks used in the project.",Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"1.Understanding the project's codebase: Contributing to an open source project requires a thorough understanding of the project's codebase. This can be challenging if the codebase is large or complex.

2.Finding an appropriate issue: Open source projects typically have a large number of issues listed on their issue tracker. Finding an issue that matches your skillset and interests can be challenging.

3.Communication and collaboration: Open source projects often have contributors from all around the world. Effective communication and collaboration with other contributors can be challenging, particularly if there are language barriers or time zone differences.",Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree
"* Gaining an understanding for the code base if its a particularly large project

* Finding good documentation can often be difficult

* Lack of testing can be a common problem with software projects

* Knowing who to ask questions to could be difficult, unless clearly stated in project",Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"The challenges which I think we might face as a team may be meeting deadlines and submitting a clean and secure code, coding in an acceptable coding standard, and documenting our contributions, to ensure the code is maintainable.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Understanding the code that is written by other people.

Finding an area to innovate in to an existing project.

Adding code that matches the pre-existing code style.

Adding code that does not hinder / crash previous code.",Neutral,Strongly disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Neutral
Understanding business and other people's code is a big challenge.,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree
"One of the challenged I believe I will encounter is understanding the community culture. My understanding is that each open source community has its own unique culture and way of working and it is important to understand that culture and follow the project's guidelines and communication channels when making contributions. Although I am aware of this I am worried that as I have never made a contribution to open source code. Secondly, I am worried that I will struggle to find a suitable issue to work on. As open source projects often have a backlog of issues to work on, and not all of them are suitable for new contributors, I understand that finding a suitable issue can be challenging. This will be apparent as I am not familiar with the project's codebase. This means that when selecting an issue to work on I will need to ensure to not over-estimate or under-estimate my ability, especially as I know I am likely to second guess myself and overthink the selection of an issue.",Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Figuring out how much i can actually contribute or how much i can contribute,Disagree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree
"* Finding suitable project: Whether I have experience working in the language/library needed for project that I am interested in

* Technical skills: Whether my code/contributions will be approved, factors such as code quality, whether I have fully fixed the problem like bugs etc

* Communication: Some contributions are pretty ""big"", meaning that the codebase is very big and complex where individual contribution is almost impossible. Having team work especially with people that you don't meet in person is a major issue in my opinion.

* Contribution progress: Understanding the code written by other people is not an easy job especially when the codebase is very big. For example library like PyTorch (deep learning library) have many dependencies on other libraries, such as NumPy etc, and the code itself might have a function that needs other code and so on and so forth. One function that you want to fix might have code spanning across 3 or more files.

* Rejection: Your contribution might get rejected if it does not fix the issue, not up to their standard or other factors. Sometimes you might spend many days or weeks working on the project and still get rejected after refining for many times. This can serve as a pressure to push yourself to improve your coding skills.

* Keeping up with the changes: A popular open-source project might have many people from all around the world, trying to contribute to it. It is an uneasy task to keep up with all the changes, such as updates, rules, changes in contribution for an open-source project.",Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
"Contributing code with technical problems that take a lot of time to resolve.

Need to take time to get to understand the project team and other contributors and learn about their expectations and requirements for code contributions.

Follow and accept the project's licence.",Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree
Knowing what I should change or shouldn't touch may be the biggest challenge to me,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Agree,Neutral,Neutral
I feel like I might have trouble understanding some segments of code and if there's a lack of documentation it'll be very difficult to understand what the code is doing.,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree
