1947797: What challenges did you encounter when trying to make a source code contribution to an Open Source project?,1947798: I feel comfortable asking for help from the Open Source community using electronic communication means.,1947799: I can write my questions and understand answers in English.,1947800: I am good in understanding code written by other people.,1947801: I have pretty good skills to write and change code.,1947802: I feel comfortable with the process of contributing to an Open Source project.,1947803: I think that contributing to an Open Source software project is an interesting activity.,1947804: I feel I can set up and run an application if a set of instructions is properly given.,1947805: I am pretty good at searching for solutions and understanding technical issues by myself.,1947806: I can choose an adequate task to fix if a list of tasks is given.,1947807: I can find the piece of code that needs to be fixed given a bug report presenting the issue.
了解和诊断问题、协作和及时性、代码审查和质量控制。,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
"Throw a connection errors or exception. 

 the handling of the connection string is not appropriate, contains incorrect or insufficient values 

* reason 1 is connection failure, the connection URL is incorrect, the database driver fail to establish a connection to the database server, which result in connection errors or exceptions being thrown. 

* reason 2 is authentication failure, the connection string contains incorrect or insufficient credentials, the database server reject the connection attempt due to authentication failure. ",Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral
"Mostly 2 main challenges that I can see:

* Code quality of students are usually not up to par compared to industry devs.

* Open source projects are complicated and takes a lot of time to be familiar with since it makes use of good OOP design principles + design pattern that I often dont encounter in uni projects.",Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Agree
"Communication with the community and getting an understanding of how they teamwork, we have to fix this kind of teamwork culture.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"1. To learn about the detailed steps of contributing to an open source project, like  pulling request.

2. To learn using wiremock, a test tool.

3. Bypassing native java limitations.",Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral
The main challenge I faced was when trying to write test cases I had to consider the functionality of the whole component involved as it would affect the whole component as a whole. With the documentation that were available it was not difficult to understand what the functionality as a whole was.,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
"The process of setting up Snipe-IT on a Windows system was found to be more intricate than on a Mac, necessitating extra troubleshooting and configuration efforts.

Snipe-IT is a substantial project with a repository containing 1.3k issues and 57 pull requests.

A significant number of these issues were either irrelevant or outdated, with some dating back to 2017, which made it challenging to identify contemporary problems that needed resolution.

Certain issues constituted very individualized feature requests, indicating that they couldn't be replicated or dealt with.

Complex issues were also present, demanding a level of knowledge beyond what was readily available for their resolution.

In some instances, issues or pull requests were turned down by the project proprietor due to concerns over compatibility or for other reasons.

For instance, Issue #8449 (link) constituted a personal feature request that wasn't feasible for implementation.

Similarly, Issue #663 (link) was dismissed by the project owner due to apprehensions about compatibility.

In another case, Pull Request #13073 (link) repeatedly encountered obstacles during attempts to merge branches.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"There are several challenges that I have encountered while contributing the open source project. First of all, being able to identify the cause of the issue is challenging. If we are thinking of contributing in terms of technical perspective, we need to know why and how the issue is needed to fix. To do that, having a certain skill to understand others' code is needed too. If they are having a strict coding standard, it takes a bit of time to understand, but it is manageable. Another challenge is that being able to replicate the issue in local system. The instructions must be given clearly by repository owner for us to understand the issue. Writing tests is also one of the difficulties for me to make sure the fix is working. Other than the technical aspects, managing the timeline is also challenging. Also, concise communication needs to be done within community so that there will not be misunderstanding. These are the main challenges I have encountered during the project.",Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral
"1. The most difficult aspect was comprehending the codebase of such a substantial project.
2. There were instances of misunderstanding with the issues related tasks.
3. Team communication presented a challenge, as there were times when not everyone was accessible, resulting in communication breakdowns and misinterpretation.",Neutral,Agree,Disagree,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Agree
"* Understanding the structure of such a large project was the most challenging part

* Misunderstanding with project maintainers

* Team communication was a challenge, not all the time everyone was available, but it could lead to communication breakdown and miscommunication",Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree
It takes time to learn the structure and discipline of the project to ensure that the code meets the requirements of the project.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"1.Communcation

2.Technical

3.Team work 

4.Project Management",Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree
"don't know the structure of project.

 need to learn the programming language. 

pull request been rejected",Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Disagree,Neutral,Neutral,Agree
"The first problem I had was figuring out how to use the drag-and-drop event, which I had never seen before, in a tool I had never used before. It was possible to figure out what the code did by looking at other functions in the package that were linked to it.

Setting up the application was also hard to understand at first look. Yi and I used word searches to find the most important files to solve this problem. After that, the print method was added to different parts of the software and tried by hand to make it easy to understand what it does and how it works.

Also some known issues were:

* Open-source projects sometimes include thousands of lines of code and several interrelated components. Newcomers may struggle to comprehend how everything works.

* Some open-source projects are unclear about where aid is required or what jobs are suited for newbies. Finding a task that fits one's talents and experience level in issue trackers might be intimidating.

* Language, time zone, and cultural factors might make communication harder in open-source projects with international partners.",Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral
"Installing Snipe-IT on Windows proved to be more complex compared to Mac. It required additional troubleshooting and configuration steps on Windows, adding to the challenges. One challenge was dealing with old issues that weren't relevant anymore. This made it hard to find current problems to solve and places where I could contribute effectively. Also encountered requests for specific features that were more personal than general. Unfortunately, these couldn't be recreated or addressed, limiting my contribution possibilities. Some problems in Snipe-IT were complex and required in-depth knowledge of the project's architecture and code. I faced a learning curve to understand these challenges and find solutions.  Sometimes the pull requests were rejected because they didn't fit well with the project's compatibility or other requirements.  
I have faced one of the biggest challenge while merging the PR, the issues was # 13073 deleted component showing in assets but unfortunately I am having some problem with the GitHub it’s showing I have changed 43 files which I didn’t. I have encountered the same issues multiple times with the branches. So I have closed the PR and done through other teammate repository. The PR was finally merged after that. ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree
"The main challenges that I faced while contributing to an open source projects were:

* To understand the given set of code as not every code present was totally understandable, some were complex too. 

* I faced issues while merging the PR.

* Some projects had specific set of guidelines so it was not easy to adhere to those guidelines.

 ",Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
"1. Reply speed

* Not all open-source projects have community members that are very active. Some of them reply in a few hours and some do not reply at all. Also, the reply speed is not consistent because everyone has their own other commitments outside of the open-source project that I am contributing too. Therefore, communication can be a hard part due to the time it takes for them to reply, which is important so that I know which area I should be working on after that.

2. Understanding code

* I  have experience reading and changing other people's code. However, the project that I am working on has a really large codebase, given that it is a deep learning library. Therefore, I am not surprised by that and I am mentally prepared before I started this project. The contribution that we did is to fix a very small bug but it is identified as ""advanced task"" at the task list because of the large codebase, where one change might affect many different files and we need to make sure that all files are modified in a correct way to avoid causing other bugs.

3. Code rule

* Every open-source project has different coding rules, and the rule is the structure of a project which allows a project codebase looks more consistent and ""elegant"" even many people are contributing to it. It takes time for me to understand the logic in such large codebase, and also figuring out the rule used (structure of the project) as not all rules and regulation are well-documented in the open-source project.

Challenges written above are expected before I started this open-source project, given that I have experience working on open-source project and group work before. However, as this is my first time working on such large codebase, problems that I faced are very tiny problems but they taught me a lot which enables me to work better in the future, not only from technical perspective but also communication, code quality and fast learning skills.",Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
At first there was a problem with the environment configuration. But the problem was solved by the group. There were also problems with the code later on. But this was solved by contacting the reviewer and the team.,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral
The F*ck,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Neutral
"1. I find it hard to find an appropriate issue to be solved in the issue list that fits into my (and our team's) level of coding. 

2. I find the scale of the project so overwhelming that it is hard to get a grasp of the whole project.

3. It is hard to make the code accepted because it needs to be in accordance with the guidelines, tests and needs of the community.",Agree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree
"In our team, we made three attempts to contribute. Firstly we found an issue with fixing a lexer. However, it is too hard to comprehend a parser and Abstract Syntax Tree (AST). My teammates and I spent two weeks learning Compiler Principle. Finally, it failed. 
Afterwards, we moved on, looking for another issue. Then we decided to contribute a new style for Pygments, and we found out that style list is not sorted. So we submitted two PRs, one for a new style named Eclipse Style, the other for sorting style list alphabtically. The first PR was rejected while the sorting was merged.
We set a goal that was hard to reach at the begining, that is why we had to overcome a series of diffculties.",Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree
"Lack of familiarity with guidelines and code style. 

Understanding existing code.

Receiving feedback from admin and project maintainers.",Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral
